timestamp_ms,value,unit,event_name,event_name_normalized,runtime_ns,enabled_pct,metric_value,metric_unit,status
10.092738,16022359.0,,instructions:u,instructions,4400963.0,44.0,1.14,insn per cycle,ok
10.092738,nan,,,,nan,nan,0.0,stalled cycles per insn,unknown
10.092738,14069184.0,,cycles:u,cycles,3429466.0,34.0,nan,,ok
10.092738,1121450.0,,branches:u,branches,3982359.0,39.0,nan,,ok
10.092738,17521.0,,branch-misses:u,branch-misses,4826192.0,48.0,1.56,of all branches,ok
10.092738,597305.0,,L1-dcache-loads:u,l1-dcache-loads,4265757.0,42.0,nan,,ok
10.092738,58024.0,,cache-references:u,cache-references,5578183.0,55.0,nan,,ok
10.092738,4958.0,,cache-misses:u,cache-misses,6576598.0,65.0,8.54,of all cache refs,ok
10.092738,47302.0,,stalled-cycles-frontend:u,stalled-cycles-frontend,3836629.0,37.0,0.34,frontend cycles idle,ok
20.67651,38318922.0,,instructions:u,instructions,8307818.0,39.0,0.8,insn per cycle,ok
20.67651,nan,,,,nan,nan,0.0,stalled cycles per insn,unknown
20.67651,47627720.0,,cycles:u,cycles,10274156.0,48.0,nan,,ok
20.67651,4280362.0,,branches:u,branches,13140359.0,62.0,nan,,ok
20.67651,271.0,,branch-misses:u,branch-misses,15154094.0,71.0,0.01,of all branches,ok
20.67651,5232.0,,L1-dcache-loads:u,l1-dcache-loads,14914386.0,70.0,nan,,ok
20.67651,1408.0,,cache-references:u,cache-references,12945098.0,61.0,nan,,ok
20.67651,11.0,,cache-misses:u,cache-misses,10974056.0,51.0,0.78,of all cache refs,ok
20.67651,88219.0,,stalled-cycles-frontend:u,stalled-cycles-frontend,4193084.0,19.0,0.19,frontend cycles idle,ok
31.177134,38223703.0,,instructions:u,instructions,6014865.0,28.0,0.81,insn per cycle,ok
31.177134,nan,,,,nan,nan,0.0,stalled cycles per insn,unknown
31.177134,47434510.0,,cycles:u,cycles,6006929.0,28.0,nan,,ok
31.177134,4197782.0,,branches:u,branches,9126942.0,43.0,nan,,ok
31.177134,269.0,,branch-misses:u,branch-misses,13080345.0,62.0,0.01,of all branches,ok
31.177134,5368.0,,L1-dcache-loads:u,l1-dcache-loads,14940297.0,71.0,nan,,ok
31.177134,1364.0,,cache-references:u,cache-references,14950317.0,71.0,nan,,ok
31.177134,9.0,,cache-misses:u,cache-misses,14958364.0,71.0,0.66,of all cache refs,ok
31.177134,72789.0,,stalled-cycles-frontend:u,stalled-cycles-frontend,4027107.0,19.0,0.15,frontend cycles idle,ok
41.681352,38705332.0,,instructions:u,instructions,8892979.0,42.0,0.82,insn per cycle,ok
41.681352,nan,,,,nan,nan,0.0,stalled cycles per insn,unknown
41.681352,47464118.0,,cycles:u,cycles,6904257.0,32.0,nan,,ok
41.681352,4245152.0,,branches:u,branches,8936691.0,42.0,nan,,ok
41.681352,234.0,,branch-misses:u,branch-misses,10947175.0,51.0,0.01,of all branches,ok
41.681352,5049.0,,L1-dcache-loads:u,l1-dcache-loads,10095500.0,47.0,nan,,ok
41.681352,1179.0,,cache-references:u,cache-references,12058269.0,57.0,nan,,ok
41.681352,8.0,,cache-misses:u,cache-misses,14048650.0,66.0,0.68,of all cache refs,ok
41.681352,109263.0,,stalled-cycles-frontend:u,stalled-cycles-frontend,7006867.0,33.0,0.23,frontend cycles idle,ok
52.17659999999999,38494928.0,,instructions:u,instructions,9123957.0,43.0,0.81,insn per cycle,ok
52.17659999999999,nan,,,,nan,nan,0.0,stalled cycles per insn,unknown
52.17659999999999,47696151.0,,cycles:u,cycles,10985209.0,52.0,nan,,ok
52.17659999999999,4267365.0,,branches:u,branches,12974567.0,61.0,nan,,ok
52.17659999999999,245.0,,branch-misses:u,branch-misses,14986083.0,71.0,0.01,of all branches,ok
52.17659999999999,5109.0,,L1-dcache-loads:u,l1-dcache-loads,13953784.0,66.0,nan,,ok
52.17659999999999,1599.0,,cache-references:u,cache-references,12042967.0,57.0,nan,,ok
52.17659999999999,12.0,,cache-misses:u,cache-misses,10083284.0,47.0,0.75,of all cache refs,ok
52.17659999999999,73290.0,,stalled-cycles-frontend:u,stalled-cycles-frontend,5018744.0,23.0,0.15,frontend cycles idle,ok
62.731469,38803165.0,,instructions:u,instructions,6017801.0,28.0,0.82,insn per cycle,ok
62.731469,nan,,,,nan,nan,0.0,stalled cycles per insn,unknown
62.731469,47440994.0,,cycles:u,cycles,6143223.0,29.0,nan,,ok
62.731469,4239547.0,,branches:u,branches,10121652.0,48.0,nan,,ok
62.731469,275.0,,branch-misses:u,branch-misses,14068555.0,66.0,0.01,of all branches,ok
62.731469,5391.0,,L1-dcache-loads:u,l1-dcache-loads,15043415.0,71.0,nan,,ok
62.731469,1448.0,,cache-references:u,cache-references,14971539.0,71.0,nan,,ok
62.731469,8.0,,cache-misses:u,cache-misses,14943540.0,71.0,0.55,of all cache refs,ok
62.731469,71173.0,,stalled-cycles-frontend:u,stalled-cycles-frontend,4006374.0,19.0,0.15,frontend cycles idle,ok
73.210315,39092010.0,,instructions:u,instructions,7938592.0,37.0,0.82,insn per cycle,ok
73.210315,nan,,,,nan,nan,0.0,stalled cycles per insn,unknown
73.210315,47894462.0,,cycles:u,cycles,6005187.0,28.0,nan,,ok
73.210315,4288312.0,,branches:u,branches,8004285.0,38.0,nan,,ok
73.210315,224.0,,branch-misses:u,branch-misses,9991139.0,47.0,0.01,of all branches,ok
73.210315,5131.0,,L1-dcache-loads:u,l1-dcache-loads,10986029.0,52.0,nan,,ok
73.210315,1406.0,,cache-references:u,cache-references,12962361.0,61.0,nan,,ok
73.210315,11.0,,cache-misses:u,cache-misses,14940082.0,71.0,0.78,of all cache refs,ok
73.210315,83011.0,,stalled-cycles-frontend:u,stalled-cycles-frontend,6069745.0,28.0,0.17,frontend cycles idle,ok
83.714832,38565062.0,,instructions:u,instructions,10086657.0,48.0,0.81,insn per cycle,ok
83.714832,nan,,,,nan,nan,0.0,stalled cycles per insn,unknown
83.714832,47686043.0,,cycles:u,cycles,10968606.0,52.0,nan,,ok
83.714832,4258568.0,,branches:u,branches,12991102.0,61.0,nan,,ok
83.714832,253.0,,branch-misses:u,branch-misses,15014248.0,71.0,0.01,of all branches,ok
83.714832,5865.0,,L1-dcache-loads:u,l1-dcache-loads,13020413.0,62.0,nan,,ok
83.714832,1710.0,,cache-references:u,cache-references,11030887.0,52.0,nan,,ok
83.714832,12.0,,cache-misses:u,cache-misses,9985425.0,47.0,0.7,of all cache refs,ok
83.714832,52597.0,,stalled-cycles-frontend:u,stalled-cycles-frontend,5938389.0,28.0,0.11,frontend cycles idle,ok
94.211691,38315706.0,,instructions:u,instructions,5995287.0,28.0,0.81,insn per cycle,ok
94.211691,nan,,,,nan,nan,0.0,stalled cycles per insn,unknown
94.211691,47295846.0,,cycles:u,cycles,7082686.0,33.0,nan,,ok
94.211691,4191765.0,,branches:u,branches,11057147.0,52.0,nan,,ok
94.211691,274.0,,branch-misses:u,branch-misses,14990597.0,71.0,0.01,of all branches,ok
94.211691,5904.0,,L1-dcache-loads:u,l1-dcache-loads,15021176.0,71.0,nan,,ok
94.211691,1646.0,,cache-references:u,cache-references,15029566.0,71.0,nan,,ok
94.211691,10.0,,cache-misses:u,cache-misses,14061102.0,66.0,0.61,of all cache refs,ok
94.211691,73443.0,,stalled-cycles-frontend:u,stalled-cycles-frontend,3967729.0,18.0,0.16,frontend cycles idle,ok
104.735153,38589076.0,,instructions:u,instructions,6987603.0,33.0,0.81,insn per cycle,ok
104.735153,nan,,,,nan,nan,0.0,stalled cycles per insn,unknown
