indicator_a,indicator_b,correlation,abs_correlation,method
norm__instructions_retired_per_ms,norm__cycles_per_ms,0.9757575757575757,0.9757575757575757,spearman
norm__llc_references_per_ki,norm__offcore_demand_data_reads_per_ki,0.9757575757575757,0.9757575757575757,spearman
norm__instructions_retired_per_ms,norm__branch_instructions_per_ki,-0.9515151515151514,0.9515151515151514,spearman
norm__cycles_per_ms,norm__branch_instructions_per_ki,-0.9515151515151514,0.9515151515151514,spearman
norm__branch_mispredictions_per_ki,norm__llc_references_per_ki,0.9272727272727272,0.9272727272727272,spearman
norm__branch_mispredictions_per_ki,norm__offcore_demand_data_reads_per_ki,0.8787878787878788,0.8787878787878788,spearman
norm__cycles_per_ms,norm__branch_mispredictions_per_ki,-0.8181818181818182,0.8181818181818182,spearman
norm__instructions_retired_per_ms,norm__branch_mispredictions_per_ki,-0.8060606060606059,0.8060606060606059,spearman
norm__l1d_loads_per_ki,norm__l1d_stores_per_ki,0.7696969696969697,0.7696969696969697,spearman
norm__branch_instructions_per_ki,norm__branch_mispredictions_per_ki,0.7212121212121211,0.7212121212121211,spearman
norm__cycles_per_ms,norm__resource_stalls_per_ki,0.6848484848484848,0.6848484848484848,spearman
norm__branch_mispredictions_per_ki,norm__resource_stalls_per_ki,-0.6848484848484848,0.6848484848484848,spearman
norm__l1d_loads_per_ki,norm__offcore_demand_data_reads_per_ki,0.6727272727272726,0.6727272727272726,spearman
norm__cycles_per_ms,norm__llc_references_per_ki,-0.6606060606060605,0.6606060606060605,spearman
norm__l1d_loads_per_ki,norm__llc_references_per_ki,0.6606060606060605,0.6606060606060605,spearman
norm__instructions_retired_per_ms,norm__llc_references_per_ki,-0.6363636363636362,0.6363636363636362,spearman
norm__instructions_retired_per_ms,norm__resource_stalls_per_ki,0.6,0.6,spearman
norm__l1d_stores_per_ki,norm__llc_misses_per_ki,-0.5878787878787878,0.5878787878787878,spearman
norm__branch_mispredictions_per_ki,norm__l1d_loads_per_ki,0.5757575757575757,0.5757575757575757,spearman
norm__cycles_per_ms,norm__offcore_demand_data_reads_per_ki,-0.5636363636363636,0.5636363636363636,spearman
norm__branch_instructions_per_ki,norm__llc_references_per_ki,0.5636363636363636,0.5636363636363636,spearman
norm__branch_instructions_per_ki,norm__resource_stalls_per_ki,-0.5636363636363636,0.5636363636363636,spearman
norm__instructions_retired_per_ms,norm__offcore_demand_data_reads_per_ki,-0.5515151515151515,0.5515151515151515,spearman
norm__llc_misses_per_ki,norm__resource_stalls_per_ki,0.49090909090909085,0.49090909090909085,spearman
norm__branch_instructions_per_ki,norm__l1d_stores_per_ki,-0.4666666666666666,0.4666666666666666,spearman
norm__branch_instructions_per_ki,norm__offcore_demand_data_reads_per_ki,0.4666666666666666,0.4666666666666666,spearman
norm__llc_references_per_ki,norm__resource_stalls_per_ki,-0.4666666666666666,0.4666666666666666,spearman
norm__instructions_retired_per_ms,norm__l1d_stores_per_ki,0.41818181818181815,0.41818181818181815,spearman
norm__instructions_retired_per_ms,norm__llc_misses_per_ki,-0.38181818181818183,0.38181818181818183,spearman
norm__cycles_per_ms,norm__l1d_stores_per_ki,0.3696969696969697,0.3696969696969697,spearman
norm__branch_instructions_per_ki,norm__llc_misses_per_ki,0.3696969696969697,0.3696969696969697,spearman
norm__l1d_loads_per_ki,norm__resource_stalls_per_ki,-0.35757575757575755,0.35757575757575755,spearman
norm__offcore_demand_data_reads_per_ki,norm__resource_stalls_per_ki,-0.32121212121212117,0.32121212121212117,spearman
norm__l1d_loads_per_ki,norm__llc_misses_per_ki,-0.29696969696969694,0.29696969696969694,spearman
norm__cycles_per_ms,norm__llc_misses_per_ki,-0.24848484848484845,0.24848484848484845,spearman
norm__l1d_stores_per_ki,norm__llc_references_per_ki,0.23636363636363633,0.23636363636363633,spearman
norm__l1d_stores_per_ki,norm__offcore_demand_data_reads_per_ki,0.23636363636363633,0.23636363636363633,spearman
norm__llc_misses_per_ki,norm__offcore_demand_data_reads_per_ki,0.16363636363636364,0.16363636363636364,spearman
norm__l1d_stores_per_ki,norm__resource_stalls_per_ki,-0.1515151515151515,0.1515151515151515,spearman
norm__cycles_per_ms,norm__l1d_loads_per_ki,-0.11515151515151514,0.11515151515151514,spearman
norm__llc_references_per_ki,norm__llc_misses_per_ki,0.11515151515151514,0.11515151515151514,spearman
norm__instructions_retired_per_ms,norm__l1d_loads_per_ki,-0.09090909090909088,0.09090909090909088,spearman
norm__branch_mispredictions_per_ki,norm__l1d_stores_per_ki,0.09090909090909088,0.09090909090909088,spearman
norm__branch_mispredictions_per_ki,norm__llc_misses_per_ki,0.04242424242424241,0.04242424242424241,spearman
norm__branch_instructions_per_ki,norm__l1d_loads_per_ki,-0.01818181818181818,0.01818181818181818,spearman
