indicator_a,indicator_b,correlation,abs_correlation,method
counter__instructions_retired,counter__l1d_loads,0.9757575757575757,0.9757575757575757,spearman
counter__llc_references,counter__offcore_demand_data_reads,0.9757575757575757,0.9757575757575757,spearman
counter__instructions_retired,counter__branch_instructions,0.9636363636363635,0.9636363636363635,spearman
counter__branch_instructions,counter__l1d_loads,0.9393939393939393,0.9393939393939393,spearman
counter__branch_mispredictions,counter__resource_stalls,-0.9272727272727272,0.9272727272727272,spearman
counter__instructions_retired,counter__l1d_stores,0.9151515151515152,0.9151515151515152,spearman
counter__l1d_loads,counter__l1d_stores,0.9151515151515152,0.9151515151515152,spearman
counter__l1d_stores,counter__llc_misses,-0.8909090909090909,0.8909090909090909,spearman
counter__branch_instructions,counter__l1d_stores,0.8787878787878788,0.8787878787878788,spearman
counter__branch_mispredictions,counter__llc_references,0.8787878787878788,0.8787878787878788,spearman
counter__instructions_retired,counter__llc_misses,-0.8181818181818182,0.8181818181818182,spearman
counter__branch_mispredictions,counter__offcore_demand_data_reads,0.8181818181818182,0.8181818181818182,spearman
counter__l1d_loads,counter__llc_misses,-0.7939393939393938,0.7939393939393938,spearman
counter__cycles,counter__l1d_loads,0.7818181818181817,0.7818181818181817,spearman
counter__llc_references,counter__resource_stalls,-0.7696969696969697,0.7696969696969697,spearman
counter__branch_instructions,counter__llc_misses,-0.7575757575757575,0.7575757575757575,spearman
counter__instructions_retired,counter__cycles,0.7333333333333332,0.7333333333333332,spearman
counter__cycles,counter__branch_instructions,0.7333333333333332,0.7333333333333332,spearman
counter__offcore_demand_data_reads,counter__resource_stalls,-0.6969696969696969,0.6969696969696969,spearman
counter__cycles,counter__l1d_stores,0.6848484848484848,0.6848484848484848,spearman
counter__branch_mispredictions,counter__llc_misses,-0.41818181818181815,0.41818181818181815,spearman
counter__llc_misses,counter__resource_stalls,0.41818181818181815,0.41818181818181815,spearman
counter__cycles,counter__resource_stalls,0.38181818181818183,0.38181818181818183,spearman
counter__cycles,counter__llc_misses,-0.34545454545454546,0.34545454545454546,spearman
counter__branch_instructions,counter__branch_mispredictions,0.2727272727272727,0.2727272727272727,spearman
counter__instructions_retired,counter__branch_mispredictions,0.23636363636363633,0.23636363636363633,spearman
counter__branch_mispredictions,counter__l1d_loads,0.2121212121212121,0.2121212121212121,spearman
counter__cycles,counter__branch_mispredictions,-0.17575757575757575,0.17575757575757575,spearman
counter__branch_instructions,counter__resource_stalls,-0.16363636363636364,0.16363636363636364,spearman
counter__branch_instructions,counter__llc_references,0.1515151515151515,0.1515151515151515,spearman
counter__branch_mispredictions,counter__l1d_stores,0.1515151515151515,0.1515151515151515,spearman
counter__llc_references,counter__llc_misses,-0.12727272727272726,0.12727272727272726,spearman
counter__l1d_stores,counter__resource_stalls,-0.11515151515151514,0.11515151515151514,spearman
counter__instructions_retired,counter__resource_stalls,-0.10303030303030303,0.10303030303030303,spearman
counter__instructions_retired,counter__llc_references,0.09090909090909088,0.09090909090909088,spearman
counter__branch_instructions,counter__offcore_demand_data_reads,0.09090909090909088,0.09090909090909088,spearman
counter__l1d_loads,counter__llc_references,0.09090909090909088,0.09090909090909088,spearman
counter__l1d_loads,counter__offcore_demand_data_reads,0.07878787878787878,0.07878787878787878,spearman
counter__l1d_loads,counter__resource_stalls,-0.07878787878787878,0.07878787878787878,spearman
counter__llc_misses,counter__offcore_demand_data_reads,-0.07878787878787878,0.07878787878787878,spearman
counter__instructions_retired,counter__offcore_demand_data_reads,0.05454545454545454,0.05454545454545454,spearman
counter__cycles,counter__llc_references,-0.05454545454545454,0.05454545454545454,spearman
counter__cycles,counter__offcore_demand_data_reads,-0.006060606060606061,0.006060606060606061,spearman
counter__l1d_stores,counter__llc_references,-0.006060606060606061,0.006060606060606061,spearman
counter__l1d_stores,counter__offcore_demand_data_reads,-0.006060606060606061,0.006060606060606061,spearman
